,Time [s], HR, PULSE, RESP, SpO2
0,0,94,95,14,99
1,1,94,95,14,99
2,2,94,94,14,99
3,3,94,94,14,99
4,4,94,94,14,99
5,5,94,94,14,99
6,6,94,94,14,99
7,7,94,94,14,99
8,8,94,95,14,99
9,9,94,95,14,99
10,10,93,95,14,99
11,11,93,95,14,99
12,12,93,95,14,99
13,13,94,94,13,99
14,14,94,94,13,99
15,15,94,94,13,99
16,16,94,94,13,99
17,17,94,94,14,99
18,18,94,94,14,99
19,19,94,94,15,99
20,20,94,94,15,99
21,21,94,94,14,99
22,22,94,94,15,99
23,23,94,94,15,99
24,24,95,94,16,99
25,25,95,94,16,99
26,26,95,94,16,99
27,27,95,94,17,99
28,28,95,95,20,99
29,29,95,95,20,98
30,30,95,95,20,98
31,31,95,95,19,98
32,32,95,95,21,98
33,33,95,95,21,98
34,34,95,95,21,98
35,35,95,95,21,99
36,36,95,94,21,99
37,37,95,94,21,99
38,38,95,94,23,100
39,39,95,94,23,100
40,40,95,94,23,100
41,41,95,95,21,100
42,42,95,95,21,100
43,43,95,95,22,100
44,44,95,95,22,99
45,45,95,95,22,99
46,46,95,94,21,99
47,47,95,94,21,99
48,48,95,94,21,99
49,49,95,93,21,98
50,50,95,93,21,98
51,51,94,93,21,98
52,52,94,93,21,98
53,53,94,93,21,98
54,54,94,94,21,98
55,55,94,94,21,98
56,56,94,95,21,98
57,57,94,95,21,98
58,58,94,95,21,98
59,59,94,95,21,98
60,60,94,95,21,98
61,61,94,95,21,98
62,62,94,95,21,98
63,63,95,95,21,98
64,64,95,95,19,98
65,65,95,95,19,98
66,66,95,95,19,98
67,67,95,95,19,98
68,68,95,95,17,98
69,69,95,95,17,98
70,70,95,95,17,98
71,71,95,95,17,98
72,72,95,95,17,98
73,73,95,95,16,98
74,74,95,95,16,98
75,75,95,95,16,98
76,76,95,95,16,98
77,77,95,95,16,98
78,78,95,95,15,98
79,79,95,95,15,98
80,80,95,95,15,98
81,81,95,95,15,98
82,82,95,95,15,98
83,83,95,95,15,98
84,84,95,95,15,98
85,85,96,95,15,98
86,86,96,95,14,98
87,87,96,95,15,98
88,88,96,95,15,98
89,89,96,95,15,98
90,90,96,95,15,98
91,91,96,95,15,98
92,92,96,95,15,98
93,93,96,95,15,99
94,94,96,95,16,99
95,95,96,95,16,99
96,96,96,95,15,99
97,97,95,95,17,99
98,98,95,95,17,99
99,99,95,95,17,98
100,100,95,95,17,98
101,101,95,95,17,98
102,102,95,95,17,98
103,103,95,95,19,98
104,104,95,95,19,98
105,105,95,95,19,98
106,106,95,95,21,98
107,107,95,95,21,98
108,108,95,95,21,98
109,109,95,95,21,98
110,110,95,95,20,98
111,111,95,95,21,98
112,112,95,95,21,98
113,113,95,95,21,98
114,114,96,94,21,99
115,115,96,94,21,99
116,116,95,94,21,99
117,117,95,94,21,99
118,118,95,95,21,100
119,119,95,95,18,100
120,120,95,95,18,100
121,121,95,95,18,100
122,122,95,96,18,99
123,123,95,96,18,99
124,124,95,96,18,99
125,125,95,95,20,99
126,126,95,95,20,98
127,127,95,95,20,98
128,128,95,95,19,98
129,129,95,95,18,98
130,130,95,95,18,98
131,131,96,95,18,98
132,132,96,95,18,98
133,133,96,95,18,98
134,134,96,95,17,99
135,135,96,95,17,99
136,136,96,95,17,99
137,137,96,96,17,100
138,138,96,96,18,100
139,139,95,96,18,100
140,140,95,96,18,99
141,141,95,96,18,99
142,142,95,96,18,99
143,143,95,96,17,99
144,144,95,96,19,98
145,145,95,96,19,98
146,146,95,96,19,98
147,147,95,95,18,98
148,148,95,95,21,98
149,149,96,95,21,98
150,150,96,95,21,98
151,151,96,95,21,98
152,152,96,95,18,99
153,153,95,94,18,99
154,154,95,94,18,100
155,155,95,94,18,100
156,156,95,94,18,100
157,157,95,94,18,100
